index,user_query,system_model,system_category,expected_category,result,match_type,note
1,Does the Valmiki Ramayana end with the coronation of Rama?,openai,Return & coronation,Return & coronation,PASS,EXACT,The system category exactly matches the expected category.
2,In which section does Valmiki describe the origin of the Sloka meter?,openai,Context of a verse,Sarga overview,FAIL,MISMATCH,"The system assigned the question to ""Context of a verse"" which is in the ""Verse Meaning &amp; Language"" group, while the expected category is ""Sarga overview"" which is in the ""Story &amp; Episodes"" group. These groups are different, indicating a mismatch."
3,"How long did the Pandavas... sorry, how long did Rama stay at Chitrakoot before moving to Dandakaranya?",openai,Story chronology,Story chronology,PASS,EXACT,The system's category exactly matches the expected category.
4,Did Hanuman burn Lanka before or after meeting Vibhishana?,openai,Timeline sequencing,Timeline sequencing,PASS,EXACT,The system's category exactly matches the expected category.
5,"When did Indrajit use the Brahmastra? Was it the first, second, or third encounter?",openai,Timeline sequencing,Timeline sequencing,PASS,EXACT,The system's category exactly matches the expected category.
6,Describe the death of Atikaya.,openai,War & battle episodes,War & battle episodes,PASS,EXACT,The system's category exactly matches the expected category.
7,Recount the episode of the female ascetic Svayamprabha.,openai,Minor episodes,Minor episodes,PASS,EXACT,The system's category exactly matches the expected category.
8,Was there a 'Lakshmana Rekha' (magical line) in the Valmiki Ramayana?,openai,Clarifying popular confusions,Clarifying popular confusions,PASS,EXACT,The system category exactly matches the expected category.
9,Where did Sita live during her second exile?,openai,Post-war events,Post-war events,[PASS],[EXACT],[The system category exactly matches the expected category.]
10,How did Rama identify Luv and Kush?,openai,Character actions,Character identity,SOFT_FAIL,SAME_GROUP,"The system and expected categories are both part of the ""Character Understanding"" group, but they are not an exact match."
11,Who is the father of Vali and Sugriva?,openai,Character lineage,Character lineage,PASS,EXACT,The system's category exactly matches the expected category.
12,Discuss the sacrifice of Urmila (Lakshmana's wife).,openai,Sacrificial choices,Sacrificial choices,PASS,EXACT,The system's category exactly matches the expected category.
13,Why did Lakshmana get angry at Dharma?,openai,Duty vs emotion,Duty vs emotion,PASS,EXACT,The system category exactly matches the expected category.
14,Why was the killing of Sambuka performed by Rama in Uttara Kanda?,openai,Duty-driven decisions,Consequences of adharma,FAIL,MISMATCH,"The system's category (Duty-driven decisions) falls under ""Character Understanding"" while the expected category (Consequences of adharma) is under ""Dharma &amp; Ethics (Textual Only)"". These are distinct groups, resulting in a MISMATCH and a FAIL."
15,Analyze the 'Golden Deer' incident as a failure of judgment.,openai,Moral dilemmas in text,Moral dilemmas in text,PASS,EXACT,The system's category exactly matches the expected category.
16,Who faced the dilemma of killing a woman (Tataka)?,openai,Moral dilemmas in text,Moral dilemmas in text,PASS,EXACT,The system's category exactly matches the expected category.
17,What does 'Dasharatha' mean?,openai,Character identity,Meaning of key Sanskrit terms,FAIL,MISMATCH,"The system assigned the question to ""Character identity,"" but the expected category is ""Meaning of key Sanskrit terms."" These categories belong to different groups (Character Understanding and Verse Meaning & Language, respectively), indicating a routing mismatch."
18,What is the significance of the Anustubh meter?,openai,Translation clarification,Meaning of key Sanskrit terms,SOFT_FAIL,SAME_GROUP,The system and expected categories are in the same group (Verse Meaning &amp; Language) but do not exactly match.
19,What does 'Ikshvaku' mean in the context of lineage?,openai,Character lineage,Meaning of key Sanskrit terms,FAIL,MISMATCH,"The system routed the question to the Character Understanding group, but the expected category is in the Verse Meaning &amp; Language group."
